TICID,RA,Decl,G,BP_RP,plx,period,amplitude,tic_contam,lc_version,notes
121840452,226.3205,-38.2367,14.029,2.992,8.499,0.3787,14.9%,0.26,COR,P2=0.205
135162879,185.5549,-41.8007,14.986,3.001,7.668,0.3776,7.2%,0.005,COR,
161734785,190.4468,-51.1685,15.179,2.895,6.767,0.3487,4.6%,0.27,COR,
207621404,206.8866,-55.5505,14.597,2.817,6.995,0.4516,15.%,---,PCA,
242407571,213.6035,-45.9454,13.082,2.737,8.952,0.4721,---,0.51,COR,
243381460,205.0069,-43.8159,13.349,2.677,7.736,0.3684,5.4%,0.02,PCA,
248145126,193.9389,-44.8643,15.223,3.076,7.790,0.3504,11.1%,0.09,PCA,
301432612,178.5196,-58.0447,13.870,2.732,9.246,0.5042,8.4%,0.32,COR,
310720311,185.4716,-63.7926,13.084,2.565,9.379,0.6649,9.7%,0.42,RAW,
328906141,211.4775,-52.4334,15.036,2.948,6.732,0.4629,4.1%,0.18,PCA,
335598085,194.8984,-68.1337,13.086,2.858,9.412,0.6607,3.1%,0.38,PCA,
398768350,180.3328,-56.8174,13.333,2.638,9.225,0.4899,15.%,---,PCA,
435899024,193.0948,-64.3109,14.057,3.014,9.699,0.36335,7.9%,1.04,RAW,
89026133,230.6437,-35.0705,13.477,2.820,7.157,0.4665,4.5%,---,0.21,RAW
99207324,236.5251,-35.4197,15.615,3.112,9.664,0.7926,3.5%,0.11,0.22,COR
127309526,216.9984,-43.4414,14.449,2.965,6.001,0.4341,9.0%,---,0.29,RAW
211513644,217.0398,-49.2627,13.904,2.703,7.856,0.6344,1.9%,0.41,---,PCA
243499565,206.1492,-47.1038,14.504,2.698,7.684,1.1942,1.9%,0.03,0.14,COR
243611773,207.0679,-44.0440,15.041,3.214,6.740,0.3778,---,0.06,---,COR
254612758,236.2847,-44.4355,13.826,2.708,5.754,0.5933,3.0%,0.48,0.28,RAW
280945693,174.0702,-69.4643,13.474,2.972,10.145,0.6363,2.3%,---,0.14,PCA
288093002,185.1167,-54.5937,13.883,2.767,9.569,0.43145,7.3%,0.47,0.20,COR
296790810,176.6070,-66.6932,13.756,3.089,9.306,0.3713,2.4%,---,0.23,PCA
330560000,213.6021,-51.0554,16.188,3.236,7.857,1.3899,11%,0.19,0.09,PCA
406040223,193.8415,-58.7782,14.967,3.184,9.034,0.3241,10.4%,0.20,---,COR
448002486,185.4086,-69.1439,14.741,3.188,9.038,0.3594,2.1%,0.17,0.28,PCA
461643692,224.5963,-33.7376,15.878,3.148,6.125,0.4113,11.4%,0.06,0.26,COR
973449111,199.8996,-62.5769,13.921,2.647,9.397,0.6210,3.1%,1.41,---,PCA
